UCSC_igenome	mm10
Olfr116	Or14j10
Olfr117	Or2g25
Olfr118	Or10al2
Olfr119	Or10al3
Olfr120	Or10al4
Olfr121	Or10al5
Olfr122	Or10al6
Olfr123	Or2g1
Olfr124	Or2b4
Olfr125	Or14j1
Olfr126	Or14j5
Olfr127	Or14j6
Olfr128	Or14j7
Olfr761	Or14j8
Olfr129	Or10al7
Olfr130	Or2g7
Olfr131	Or2y3
Olfr132	Or2h15
Olfr133	Or2n1b
Olfr134	Or2n1
Olfr135	Or2n1c
Olfr138	Or2n1e
Olfr137	Or2j3
Olfr136	Or2n1d
Esp6Esp5	Gm44501
Mut	Mmut
Gm7325	Mymx
2310039H08Rik	Pex39
Gltscr1l	Bicral
1700001C19Rik	Cimip3
9830107B12Rik	Trem5
A530064D06Rik	Trem4
B430306N03Rik	Treml6
Sgol1	Sgo1
Ccdc94	Yju2
Hdgfrp2	Hdgfl2
2410015M20Rik	Micos13
1700061G19Rik	Acsbg3
Wash1	Washc1
Epb4.1l3	Epb41l3
A330050F15Rik	Akain1
Trmt61b	Spdyaos
Fam179a	Togaram2
BC027072	Pcare
1700011E24Rik	Stpg4
9430020K01Rik	Jcad
Gm10125	Zeb1os1
Armc4	Odad2
1010001N08Rik	Gata6os
3110002H16Rik	Rmc1
Garem	Garem1
Zfp191	Zfp24
Epb4.1l4aos	Epb41l4aos
Epb4.1l4a	Epb41l4a
4933408B17Rik	Brd8dc
1700066B19Rik	Smim33
Tmem173	Sting1
Hars	Hars1
Gm37013	Pcdha4b
Pcdha7-g	Gm38667
Diap1	Diaph1
0610009O20Rik	Dele1
2900055J20Rik	Kctd16
Lars	Lars1
Hdhd1a	Pudp
Gramd3	Gramd2b
Tex43	Spmip10
March3	Marchf3
1700011I03Rik	Ccdc192
A730017C20Rik	Minar2
